".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > ダクターチャンネル > ハンガー吊金具","DLE45B3|Eハンガー中間支持","DLE45B3"," 
 規格：端吊り45型用W3/8
 入数：1
 単位：個
 ","302.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/DLE45B3.htm",""
".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > スライドボックス","DM801C|保護カバー","DM801C"," 
 規格：セパレータ付 10個入
 入数：1
 単位：箱
 ","227.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/DM801C.htm",""
".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > TLチューブ","DM816|情報パナチューブ50m巻16","DM816"," 
 規格：弱電配管用 波付
 入数：1
 単位：巻
 ","3510.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/DM816.htm",""
".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > VE管・付属品 > 2号コネクタ","2K-14J|２号コネクター","2K-14J"," 
 規格：VE14用ベージュ高耐候性
 入数：1
 単位：セット
 ","713.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/2K-14J.htm",""
".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > HIVE、HIVP管、VU管・付属品 > 2号コネクタ","2K-22DB|２号コネクター","2K-22DB"," 
 規格：VE22用 濃紺 高耐候性
 入数：1
 単位：セット
 ","950.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/2K-22DB.htm",""
".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > VE管・付属品 > カップリング","3C-16J|伸縮カップリング","3C-16J"," 
 規格：VE16用ベージュ高耐候性
 入数：1
 単位：個
 ","95.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/3C-16J.htm",""
".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > HIVE、HIVP管、VU管・付属品 > カップリング","3C-36DB|伸縮カップリング","3C-36DB"," 
 規格：VE36用 濃紺 高耐候性
 入数：1
 単位：個
 ","356.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/3C-36DB.htm",""
".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > VE管・付属品 > ブッシング","B-16J|ビニルブッシング","B-16J"," 
 規格：VE16用ベージュ高耐候性
 入数：1
 単位：個
 ","57.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/B-16J.htm",""
".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > HIVE、HIVP管、VU管・付属品 > ブッシング","B-36DB|ビニルブッシング","B-36DB"," 
 規格：VE36用 濃紺 高耐候性
 入数：1
 単位：個
 ","140.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/B-36DB.htm",""
".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > 吊金具","GFH-2|ガードフックル","GFH-2"," 
 規格：L・H型鋼用
 入数：1
 単位：セット
 ","3456.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/GFH-2.htm",""
".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > VE管・付属品 > サドル","KT-14G|ＳＶ片サドル","KT-14G"," 
 規格：18?20φ
 入数：1
 単位：セット
 ","1404.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/KT-14G.htm",""
".d???l?b?g","電線管付属品、CD・PF管など配管材関連 > VE管・付属品 > エントランスキャップ","MEC-14J|エントランスキャップ","MEC-14J"," 
 規格：VE14用ベージュ高耐候性
 入数：1
 単位：個
 ","356.0","1","","http://www.denzai-net.jp/item_conduit-pipe-accessories/MEC-14J.htm",""
